dataset,V,EH,delta,steps,active,gpu_ms
grid_400x400,638400,2548808,5,819,775,6.03935
grid_400x400,638400,2548808,10,409,1550,2.60956
grid_400x400,638400,2548808,15,273,2325,2.1244
grid_400x400,638400,2548808,20,204,3100,1.72976
grid_400x400,638400,2548808,25,163,3875,1.48828
grid_400x400,638400,2548808,30,136,4650,1.30621
grid_400x400,638400,2548808,35,117,5425,1.03916
grid_400x400,638400,2548808,40,102,6200,1.04858
grid_400x400,638400,2548808,45,91,6975,1.07702
grid_400x400,638400,2548808,50,81,7750,1.21651
grid_400x400,638400,2548808,55,74,8525,1.62612
grid_400x400,638400,2548808,60,68,9300,2.37875
grid_400x400,638400,2548808,65,63,10075,2.35008
grid_400x400,638400,2548808,70,58,10850,2.30932
grid_400x400,638400,2548808,75,54,11625,2.71606
grid_400x400,638400,2548808,80,51,12400,2.68739
grid_400x400,638400,2548808,85,48,13175,2.39186
grid_400x400,638400,2548808,90,45,13950,2.66138
